numcode,country,Carbon1971,Carbon1972,Carbon1973,Carbon1974,Carbon1975,Carbon1976,Carbon1977,Carbon1978,Carbon1979,Carbon1980,Carbon1981,Carbon1982,Carbon1983,Carbon1984,Carbon1985,Carbon1986,Carbon1987,Carbon1988,Carbon1989,Carbon1990,Carbon1991,Carbon1992,Carbon1993,Carbon1994,Carbon1995,Carbon1996,Carbon1997,Carbon1998,Carbon1999,Carbon2000,Carbon2001,Carbon2002,Carbon2003,Carbon2004,Carbon2005,Carbon2006,Carbon2007,Carbon2008,Carbon2009,Carbon2010,Carbon2011,Carbon2012,Carbon2013,Carbon2014,Carbon2015,Carbon2016,Carbon2017,Carbon2018,Carbon2019,Carbon2020,Carbon2021,Carbon2022,Carbon2023,Carbon2024,Carbon2025,Carbon2026,Carbon2027,Carbon2028,Carbon2029,Carbon2030,Carbon2031,Carbon2032,Carbon2033,Carbon2034,Carbon2035,Carbon2036,Carbon2037,Carbon2038,Carbon2039,Carbon2040
100,Bulgaria,0.06375,0.06472,0.06703,0.06862,0.07301,0.07309,0.07672,0.08047,0.08388,0.08418,0.08093,0.08393,0.08446,0.08485,0.08514,0.08692,0.08609,0.08456,0.08237,0.07487,0.05716,0.05458,0.05822,0.05454,0.05727,0.05608,0.05195,0.04947,0.04439,0.0437,0.04662,0.04426,0.04815,0.04671,0.04796,0.04893,0.05229,0.0497,0.04303,0.04515,0.04992,0.04525,0.04611066,0.046971319,0.047831979,0.048692638,0.049553298,0.050413957,0.051274617,0.052135276,0.052347427,0.052559577,0.052771728,0.052983878,0.053832481,0.054039279,0.054246077,0.054452875,0.054659674,0.055486867,0.055730955,0.055975042,0.05621913,0.056463218,0.057439569,0.057673835,0.0579081,0.058142366,0.058376631,0.059313693
191,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02155,0.01623,0.01528,0.01586,0.01515,0.01596,0.01586,0.01765,0.01882,0.01855,0.01792,0.01882,0.01987,0.02123,0.02061,0.02094,0.02098,0.02224,0.0212,0.02004,0.01934,0.01897,0.01735,0.017679999,0.018009997,0.018339996,0.018669995,0.018999994,0.019329992,0.019659991,0.01998999,0.020071334,0.020152678,0.020234022,0.020315366,0.020640741,0.020720033,0.020799325,0.020878616,0.020957908,0.021275075,0.021368664,0.021462254,0.021555843,0.021649433,0.022023791,0.022113614,0.022203437,0.022293261,0.022383084,0.022742377
196,Cyprus,0.00178,0.00223,0.00232,0.00178,0.0017,0.00198,0.00217,0.00229,0.00248,0.00262,0.00256,0.0026,0.00269,0.00279,0.0028,0.00316,0.00363,0.00367,0.00381,0.00413,0.00435,0.00473,0.00509,0.00579,0.00501,0.00561,0.00547,0.00584,0.00584,0.00631,0.00623,0.00633,0.00696,0.00653,0.00663,0.00693,0.00729,0.00765,0.00747,0.00711,0.00683,0.00642,0.006542109,0.006664218,0.006786327,0.006908436,0.007030545,0.007152654,0.007274763,0.007396872,0.007426972,0.007457072,0.007487171,0.007517271,0.007637669,0.007667009,0.00769635,0.00772569,0.00775503,0.007872391,0.007907022,0.007941652,0.007976283,0.008010914,0.008149437,0.008182674,0.008215912,0.008249149,0.008282386,0.008415335
807,Former Yugoslavia (If no detail),0.06548,0.06586,0.07079,0.07629,0.0771,0.08059,0.08574,0.09069,0.10166,0.10153,0.10348,0.10702,0.11634,0.12398,0.12725,0.13222,0.13241,0.134,0.13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Gibraltar,0.0001,0.00009,0.00009,0.00009,0.0001,0.00009,0.00008,0.00008,0.00011,0.00012,0.00009,0.0001,0.00011,0.0001,0.00012,0.00014,0.00015,0.00017,0.00017,0.00017,0.00023,0.00028,0.00028,0.00033,0.00032,0.00033,0.00034,0.00036,0.00037,0.00039,0.0004,0.00041,0.00042,0.00045,0.00046,0.00048,0.00048,0.00049,0.00053,0.00053,0.00052,0.00053,0.000540081,0.000550161,0.000560242,0.000570323,0.000580403,0.000590484,0.000600565,0.000610645,0.00061313,0.000615615,0.0006181,0.000620585,0.000630524,0.000632946,0.000635368,0.000637791,0.000640213,0.000649901,0.00065276,0.000655619,0.000658478,0.000661337,0.000672773,0.000675517,0.000678261,0.000681005,0.000683748,0.000694724
-2,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502,0.00636,0.00632,0.00672,0.00673,0.00654,0.0066,0.00692,0.00746,0.00827,0.00857,0.00848,0.008,0.008152161,0.008304322,0.008456482,0.008608643,0.008760804,0.008912965,0.009065126,0.009217286,0.009254794,0.009292301,0.009329808,0.009367316,0.009517345,0.009553906,0.009590467,0.009627028,0.009663589,0.009809833,0.009852986,0.00989614,0.009939294,0.009982447,0.010155062,0.010196479,0.010237896,0.010279313,0.01032073,0.010486399
470,Malta,0.00065,0.00082,0.00079,0.00072,0.00064,0.00073,0.00077,0.00091,0.00088,0.00099,0.00112,0.00128,0.00096,0.00132,0.00115,0.00185,0.00194,0.00211,0.00229,0.00229,0.00218,0.00214,0.00277,0.00248,0.00222,0.00217,0.00244,0.00215,0.00235,0.00211,0.00246,0.00229,0.00258,0.00258,0.00271,0.00258,0.00273,0.00257,0.0024,0.00262,0.00259,0.00205,0.002088991,0.002127982,0.002166974,0.002205965,0.002244956,0.002283947,0.002322938,0.00236193,0.002371541,0.002381152,0.002390763,0.002400375,0.00243882,0.002448188,0.002457557,0.002466926,0.002476295,0.00251377,0.002524828,0.002535886,0.002546944,0.002558002,0.002602235,0.002612848,0.002623461,0.002634074,0.002644687,0.00268714
499,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,0.00221,0.00208,0.00268,0.0017,0.00248,0.0025,0.0023,0.002343746,0.002387492,0.002431239,0.002474985,0.002518731,0.002562477,0.002606224,0.00264997,0.002660753,0.002671537,0.00268232,0.002693103,0.002736237,0.002746748,0.002757259,0.00276777,0.002778282,0.002820327,0.002832734,0.00284514,0.002857547,0.002869954,0.00291958,0.002931488,0.002943395,0.002955303,0.00296721,0.00301484
642,Romania,0.11162,0.11649,0.12838,0.12855,0.13887,0.14944,0.15857,0.17306,0.17383,0.17779,0.17672,0.17508,0.17879,0.17657,0.17887,0.18437,0.19471,0.19642,0.19368,0.17219,0.14034,0.12844,0.12497,0.11873,0.1285,0.1265,0.11312,0.1009,0.08734,0.08859,0.0934,0.09698,0.10095,0.09583,0.09405,0.09925,0.09813,0.09323,0.07907,0.07726,0.08258,0.07886,0.080359925,0.08185985,0.083359775,0.0848597,0.086359626,0.087859551,0.089359476,0.090859401,0.091229129,0.091598857,0.091968585,0.092338313,0.093817225,0.094177625,0.094538025,0.094898426,0.095258826,0.096700427,0.097125814,0.097551201,0.097976588,0.098401975,0.100103523,0.100511793,0.100920062,0.101328331,0.1017366,0.103369676
688,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631,0.05267,0.04999,0.04343,0.03963,0.04528,0.05248,0.05581,0.05691,0.03953,0.0436,0.04642,0.04975,0.05354,0.05847,0.05081,0.05457,0.05308,0.05281,0.04721,0.04694,0.05073,0.04495,0.045804954,0.046659907,0.047514861,0.048369814,0.049224768,0.050079721,0.050934675,0.051789628,0.052000372,0.052211116,0.05242186,0.052632604,0.05347558,0.053681007,0.053886435,0.054091862,0.054297289,0.055118998,0.055361468,0.055603937,0.055846407,0.056088876,0.057058754,0.057291467,0.057524179,0.057756892,0.057989604,0.058920453
