numcode,country,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023,GDP2024,GDP2025,GDP2026,GDP2027,GDP2028,GDP2029,GDP2030,GDP2031,GDP2032,GDP2033,GDP2034,GDP2035,GDP2036,GDP2037,GDP2038,GDP2039,GDP2040
760,Syrian Arab Republic,0.01256,0.01571,0.01437,0.01783,0.02131,0.02365,0.02335,0.02539,0.02631,0.02946,0.03226,0.03295,0.03342,0.03206,0.03402,0.03233,0.03295,0.03732,0.03398,0.03658,0.03947,0.04478,0.0471,0.0507,0.05362,0.05598,0.05699,0.0606,0.05845,0.06005,0.06317,0.0669,0.0673,0.07194,0.0764,0.08022,0.0848,0.08861,0.09393,0.09693,0.095,0.076,0.067804976,0.059609951,0.062349186,0.06508842,0.067827654,0.070566888,0.073306122,0.076045356,0.07878459,0.08266391,0.086543231,0.090422551,0.094301871,0.098181192,0.102060512,0.105939832,0.109819153,0.113698473,0.117577793,0.121457113,0.125336434,0.129215754,0.133095074,0.136974395,0.140853715,0.144733035,0.148612356,0.152491676
784,United Arab Emirates,0.03271,0.03786,0.06922,0.07926,0.08419,0.09811,0.11914,0.11725,0.14178,0.17563,0.18381,0.17146,0.16332,0.16988,0.16378,0.13928,0.14399,0.14022,0.15752,0.18639,0.18799,0.19428,0.19673,0.2103,0.22436,0.23737,0.25681,0.25756,0.26504,0.2938,0.29791,0.30516,0.33202,0.36378,0.38144,0.41897,0.43231,0.44611,0.42468,0.43177,0.44852,0.4681,0.41762512,0.367150241,0.38402176,0.400893279,0.417764799,0.434636318,0.451507837,0.468379357,0.485250876,0.509144427,0.533037977,0.556931528,0.580825078,0.604718629,0.628612179,0.65250573,0.67639928,0.700292831,0.724186381,0.748079932,0.771973482,0.795867033,0.819760584,0.843654134,0.867547685,0.891441235,0.915334786,0.939228336
887,Yemen,0.0086,0.00933,0.01034,0.01104,0.01218,0.01389,0.01528,0.01924,0.02044,0.02134,0.02589,0.02775,0.02866,0.0295,0.0305,0.0315,0.03267,0.0344,0.0355,0.03596,0.03823,0.04137,0.04302,0.04591,0.04852,0.05076,0.05342,0.05663,0.05877,0.0624,0.06477,0.06732,0.06984,0.07262,0.07668,0.07911,0.08175,0.08473,0.08801,0.09479,0.08486,0.08497,0.075807747,0.066645494,0.06970803,0.072770566,0.075833102,0.078895638,0.081958173,0.085020709,0.088083245,0.092420427,0.096757609,0.101094792,0.105431974,0.109769156,0.114106338,0.11844352,0.122780703,0.127117885,0.131455067,0.135792249,0.140129431,0.144466614,0.148803796,0.153140978,0.15747816,0.161815342,0.166152525,0.170489707
50,Bangladesh,0.06183,0.05319,0.05496,0.06023,0.05777,0.06104,0.06267,0.0671,0.07033,0.0709,0.0736,0.07535,0.07837,0.08243,0.08509,0.08871,0.09202,0.094,0.09646,0.10219,0.1056,0.11092,0.116,0.12074,0.12668,0.13254,0.13968,0.14698,0.15414,0.1633,0.17191,0.1795,0.18894,0.20079,0.21274,0.22685,0.24143,0.25637,0.27109,0.28755,0.30683,0.32596,0.310889606,0.295819212,0.314180573,0.332541935,0.350903297,0.369264658,0.38762602,0.405987382,0.424348743,0.451884528,0.479420312,0.506956097,0.534491881,0.562027666,0.58956345,0.617099235,0.644635019,0.672170804,0.699706588,0.727242373,0.754778157,0.782313942,0.809849726,0.837385511,0.864921295,0.89245708,0.919992864,0.947528649
96,Brunei Darussalam,0.01058,0.01143,0.01234,0.01291,0.01296,0.01557,0.01727,0.01844,0.0226,0.02102,0.01685,0.01752,0.01761,0.01772,0.01745,0.01698,0.01732,0.01751,0.01732,0.01751,0.01806,0.01892,0.01898,0.01957,0.02045,0.02104,0.02073,0.02061,0.02124,0.02185,0.02245,0.02332,0.02399,0.02411,0.02421,0.02527,0.02531,0.02482,0.02438,0.02502,0.02557,0.02612,0.024912371,0.023704742,0.025176085,0.026647427,0.02811877,0.029590112,0.031061454,0.032532797,0.034004139,0.036210651,0.038417163,0.040623675,0.042830188,0.0450367,0.047243212,0.049449724,0.051656236,0.053862748,0.05606926,0.058275772,0.060482285,0.062688797,0.064895309,0.067101821,0.069308333,0.071514845,0.073721357,0.075927869
116,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,0.01047,0.01104,0.01166,0.01225,0.0137,0.01491,0.0161,0.01718,0.01864,0.02057,0.0233,0.0258,0.02844,0.03034,0.03037,0.03218,0.03445,0.03696,0.035251196,0.033542392,0.035624353,0.037706313,0.039788274,0.041870235,0.043952196,0.046034156,0.048116117,0.051238349,0.05436058,0.057482812,0.060605043,0.063727275,0.066849506,0.069971738,0.07309397,0.076216201,0.079338433,0.082460664,0.085582896,0.088705127,0.091827359,0.09494959,0.098071822,0.101194053,0.104316285,0.107438517
158,Chinese Taipei,0.05089,0.05812,0.06693,0.0759,0.07734,0.08178,0.09449,0.10603,0.12256,0.13324,0.14184,0.14747,0.15974,0.17463,0.18174,0.20173,0.22328,0.23572,0.25995,0.27781,0.29972,0.32237,0.34407,0.37019,0.3938,0.41561,0.43836,0.45356,0.48064,0.5085,0.5001,0.52643,0.54574,0.57953,0.60678,0.63977,0.67805,0.683,0.67063,0.74255,0.77251,0.80017,0.763175039,0.726180079,0.771253741,0.816327402,0.861401064,0.906474726,0.951548387,0.996622049,1.041695711,1.109290841,1.176885971,1.244481102,1.312076232,1.379671362,1.447266493,1.514861623,1.582456753,1.650051884,1.717647014,1.785242144,1.852837275,1.920432405,1.988027535,2.055622666,2.123217796,2.190812926,2.258408056,2.326003187
408,Dem. People's Republic of Korea,0.02872,0.0326,0.03648,0.04037,0.04502,0.05045,0.05666,0.06364,0.07063,0.07762,0.08538,0.09392,0.10323,0.11332,0.12419,0.12884,0.13738,0.14514,0.15368,0.14799,0.1403,0.12964,0.12406,0.12183,0.11623,0.11192,0.10432,0.10317,0.10317,0.10317,0.10007,0.10187,0.10371,0.10558,0.10748,0.10941,0.10821,0.10572,0.10963,0.09976,0.10126,0.10278,0.098028082,0.093276164,0.099065773,0.104855381,0.11064499,0.116434598,0.122224206,0.128013815,0.133803423,0.142485863,0.151168302,0.159850741,0.168533181,0.17721562,0.185898059,0.194580499,0.203262938,0.211945377,0.220627817,0.229310256,0.237992695,0.246675135,0.255357574,0.264040013,0.272722453,0.281404892,0.290087331,0.298769771
356,India,0.61804,0.61462,0.63488,0.6424,0.70118,0.71284,0.76456,0.80823,0.76589,0.81748,0.86658,0.8967,0.96206,0.99882,1.0513,1.10152,1.1452,1.25545,1.33012,1.40372,1.41856,1.49633,1.56742,1.67179,1.79842,1.93419,2.01252,2.13698,2.32602,2.41536,2.53187,2.62819,2.83477,3.05937,3.34343,3.65316,4.01122,4.16729,4.52067,4.98449,5.31538,5.56713,5.45547,5.34381,5.781821429,6.219832857,6.657844286,7.095855714,7.533867143,7.971878571,8.40989,9.276685263,10.14348053,11.01027579,11.87707105,12.74386632,13.61066158,14.47745684,15.34425211,16.21104737,17.07784263,17.94463789,18.81143316,19.67822842,20.54502368,21.41181895,22.27861421,23.14540947,24.01220474,24.879
360,Indonesia,0.18501,0.19959,0.2191,0.23719,0.25186,0.26694,0.28999,0.31669,0.33915,0.36874,0.39879,0.40319,0.43726,0.46862,0.48492,0.51384,0.54107,0.57546,0.62774,0.68425,0.74534,0.79915,0.85712,0.92175,0.99915,1.07551,1.12606,0.97824,0.98598,1.03449,1.07218,1.12043,1.17399,1.23305,1.30324,1.37493,1.46217,1.5501,1.62185,1.72279,1.83461,1.94884,1.858737573,1.768635146,1.878413512,1.988191878,2.097970243,2.207748609,2.317526975,2.42730534,2.537083706,2.701713839,2.866343973,3.030974106,3.195604239,3.360234373,3.524864506,3.689494639,3.854124772,4.018754906,4.183385039,4.348015172,4.512645306,4.677275439,4.841905572,5.006535706,5.171165839,5.335795972,5.500426105,5.665056239
