numcode,country,PECons1971,PECons1972,PECons1973,PECons1974,PECons1975,PECons1976,PECons1977,PECons1978,PECons1979,PECons1980,PECons1981,PECons1982,PECons1983,PECons1984,PECons1985,PECons1986,PECons1987,PECons1988,PECons1989,PECons1990,PECons1991,PECons1992,PECons1993,PECons1994,PECons1995,PECons1996,PECons1997,PECons1998,PECons1999,PECons2000,PECons2001,PECons2002,PECons2003,PECons2004,PECons2005,PECons2006,PECons2007,PECons2008,PECons2009,PECons2010,PECons2011,PECons2012,PECons2040
174,Comoros,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.003972115
178,Congo,0.020178,0.020901,0.021132,0.021548,0.021945,0.024039,0.022871,0.023757,0.023737,0.024592,0.025352,0.026924,0.029944,0.029054,0.030294,0.029807,0.030337,0.029229,0.030525,0.030778,0.031615,0.031681,0.032041,0.028907,0.030757,0.030086,0.028749,0.028859,0.028113,0.032306,0.035058,0.03448,0.039688,0.040569,0.043103,0.045984,0.048263,0.050349,0.056656,0.060545,0.066535,0.068,0.626019989
384,Cote d'Ivoire,0.097411,0.10337,0.106782,0.111468,0.117454,0.126615,0.129095,0.138045,0.139641,0.141813,0.141227,0.14054,0.137113,0.139683,0.146705,0.162799,0.166421,0.169385,0.175311,0.172414,0.177369,0.193444,0.200334,0.205281,0.20451,0.229715,0.234393,0.233799,0.278754,0.269425,0.259113,0.276957,0.261823,0.368985,0.381659,0.375316,0.403959,0.406018,0.372479,0.400919,0.460567,0.50027,0.590252648
180,Democratic Republic of Congo,0.26502,0.271868,0.281361,0.289032,0.296443,0.301037,0.310477,0.319134,0.333084,0.335934,0.352387,0.352898,0.37588,0.394994,0.394937,0.402824,0.419191,0.434683,0.445765,0.468158,0.468724,0.477295,0.486848,0.488606,0.509323,0.526632,0.535889,0.549009,0.552298,0.552776,0.571305,0.591134,0.613159,0.637613,0.662293,0.687119,0.711879,0.738158,0.760259,0.788271,0.83716,0.81567,4.293197494
262,Djibouti,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.04210076
818,Egypt,0.309779,0.341571,0.317979,0.356291,0.389045,0.453056,0.494718,0.511586,0.562926,0.601028,0.70062,0.767102,0.850736,0.943097,1.02077,1.0485,1.11712,1.14419,1.21995,1.28273,1.2832,1.3167,1.36587,1.3148,1.39703,1.48344,1.54425,1.6542,1.69087,1.61433,1.81191,1.8691,1.94022,2.09694,2.44254,2.58061,2.76361,2.8703,2.93636,2.88964,3.02933,3.10352,1.833121983
226,Equatorial Guinea,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.056919,0.057832333,0.057702,0.060835667,0.062171,0.064987667,0.065615333,0.066561333,0.067266667,0.069284667,0.070457333,0.072489,0.072695333,0.075146667,0.077577667,0.079847,0.082146333,0.083714667,0.086061,0.088737667,0.091487333,0.051346452
232,Eritrea,0.027132727,0.028080788,0.027903364,0.028454061,0.029656364,0.030381515,0.031347273,0.033177576,0.032746364,0.033698788,0.035441563,0.035715625,0.037303438,0.037619063,0.038462188,0.04067125,0.04177375,0.043098438,0.043873125,0.05207125,0.054830968,0.034812,0.036548,0.0377,0.039589,0.041556,0.041294,0.026845,0.027835,0.028089,0.029432,0.029697,0.031914,0.029505,0.030271,0.027655,0.028595,0.026873,0.028789,0.029543,0.030421,0.031615,0.222072354
231,Ethiopia,0.50656,0.519844,0.535817,0.549525,0.559315,0.56912,0.576747,0.586049,0.595775,0.607803,0.62344,0.639075,0.659451,0.678695,0.7005,0.725905,0.754095,0.778345,0.805405,0.835136,0.863203,0.882718,0.91942,0.954692,0.989657,1.02287,1.05129,1.08295,1.1128,1.1472,1.19126,1.22671,1.26633,1.30462,1.33665,1.37765,1.42154,1.4896,1.5519,1.63212,1.72288,1.80519,2.063169686
266,Gabon,0.042476,0.041537,0.057225,0.062435,0.05153,0.049425,0.053893,0.061164,0.054143,0.054526,0.061182,0.062982,0.064782,0.060264,0.053961,0.053921,0.051162,0.054099,0.050381,0.046878,0.048408,0.051745,0.054749,0.048531,0.053219,0.055416,0.0561,0.059675,0.058086,0.058355,0.062642,0.062888,0.063467,0.065038,0.068379,0.070639,0.07328,0.075413,0.079229,0.08386,0.086374,0.08778,0.489955826
